,Anchor,DMC
,2,1
,234,2
,N/A,3
,235,4
,933,5
,376,6
,378,7
,379,8
,360,9
,N/A,10
,259,11
,N/A,12
,1092,13
,N/A,14
,N/A,15
,1043,16
,278,17
,279,18
,305,19
,336,20
,883,21
,884,22
,N/A,23
,90,24
,90,25
,90,26
,1037,27
,100,28
,101,29
,109,30
,110,31
,111,32
,86,33
,89,34
,1029,35
,N/A,48
,1220,51
,1209,52
,N/A,53
,N/A,67
,1218,69
,1217,90
,1215,92
,N/A,93
,1209,94
,1213,99
,1203,105
,1218,106
,1203,107
,1218,111
,1206,115
,1210,121
,1213,125
,59,150
,23,151
,969,152
,95,153
,103,153
,873,154
,1030,155
,118,156
,120,157
,123,158
,178,158
,120,159
,175,160
,176,161
,159,162
,877,163
,240,164
,278,165
,280,166
,898,167
,398,168
,849,169
,111,208
,109,209
,108,210
,342,211
,897,221
,895,223
,893,224
,892,225
,1026,225
,352,300
,1049,301
,1006,304
,289,307
,42,309
,403,310
,148,311
,979,312
,1019,315
,1017,316
,400,317
,399,318
,218,319
,215,320
,19,321
,47,321
,9046,321
,978,322
,59,326
,100,327
,110,333
,119,333
,977,334
,1014,335
,150,336
,118,340
,117,341
,1025,347
,13,349
,11,350
,10,351
,9,352
,6,353
,884,355
,1014,355
,5975,356
,217,367
,214,368
,1043,369
,855,370
,854,371
,853,372
,351,400
,1047,402
,914,407
,236,413
,235,414
,815,414
,398,415
,374,420
,372,422
,943,422
,357,433
,358,433
,310,434
,365,435
,369,435
,1046,435
,1045,436
,362,437
,290,444
,291,444
,288,445
,802,445
,233,451
,232,452
,231,453
,267,469
,267,470
,265,471
,266,471
,253,472
,799,498
,1005,498
,683,500
,879,500
,878,501
,221,502
,877,502
,876,503
,213,504
,1042,504
,210,505
,162,517
,1039,518
,1038,519
,862,520
,860,522
,859,523
,858,524
,401,535
,276,543
,933,543
,101,550
,102,550
,99,552
,92,553
,98,553
,96,554
,97,554
,212,561
,210,562
,216,562
,208,563
,206,564
,281,580
,817,580
,280,581
,1064,597
,1062,598
,59,600
,57,601
,57,602
,63,602
,55,603
,62,603
,55,604
,74,605
,1094,605
,334,606
,332,608
,889,610
,354,611
,678,611
,898,611
,832,612
,831,613
,956,613
,936,632
,903,640
,392,642
,830,644
,273,645
,8581,646
,1040,647
,900,648
,46,666
,891,676
,886,677
,901,680
,923,699
,211,700
,228,700
,227,701
,225,702
,226,702
,239,702
,238,703
,237,704
,256,704
,926,712
,88,718
,326,720
,324,721
,925,721
,323,722
,305,725
,295,726
,293,727
,305,728
,820,729
,890,729
,845,730
,924,731
,281,732
,280,733
,279,734
,366,738
,367,738
,942,738
,276,739
,387,739
,885,739
,316,740
,304,741
,314,741
,303,742
,301,743
,302,743
,301,744
,300,745
,275,746
,158,747
,1012,754
,868,758
,882,758
,9575,758
,1022,760
,1021,761
,234,762
,259,772
,264,772
,128,775
,24,776
,65,777
,968,778
,380,779
,309,780
,370,780
,308,781
,307,782
,306,783
,123,791
,178,791
,177,792
,941,792
,176,793
,121,794
,175,794
,133,796
,132,797
,139,797
,143,797
,147,797
,131,798
,137,798
,142,798
,146,798
,136,799
,145,799
,144,800
,359,801
,149,803
,169,806
