Ecru,#fff7e7,,Ecru/off-white
Blanc,#fcfcff,,White
White,#fcfcff,,White
B5200,#ffffff,,Snow White
800,#b5c7e9,,Delft Blue - Pale
801,#60391d,,Coffee Brown - Dark
803,#202754,,Blue - Deep
806,#1d6c87,,Peacock Blue - Dark
807,#558b9e,,Peacock Blue
809,#919fd5,,Delft Blue
813,#7fa0c6,,Blue - Light
814,#711033,,Garnet - Dark
815,#800b34,,Garnet - Medium
816,#921238,,Garnet
817,#bb1630,,Coral Red - Very Dark
818,#fededd,,Baby Pink
819,#fcebde,,Baby Pink - Light
820,#151264,,Royal Blue - Very Dark
822,#e8dfc7,,Beige Gray - Light
823,#000b44,,Blue - Dark
824,#284779,,Blue - Very Dark
825,#34588f,,Blue - Dark
826,#5075a7,,Blue - Medium
827,#a4c1de,,Blue - Very Light
828,#c3d7e6,,Blue - Ultra Very Light
829,#64480c,,Golden Olive - Very Dark
830,#6e501d,,Golden Olive - Dark
831,#7c5f20,,Golden Olive - Medium
832,#9c7230,,Golden Olive
833,#b99956,,Golden Olive - Light
834,#d2b468,,Golden Olive - Very Light
838,#4a3021,,Beige Brown - Very Dark
839,#5a3c2d,,Beige Brown - Dark
840,#7a5939,,Beige Brown - Medium
841,#a37d64,,Beige Brown - Light
842,#cbb094,,Beige Brown - Very Light
844,#494842,,Beaver Gray - Ultra Dark
868,#995c30,,Hazel Nut Brown
869,#784c28,,Hazelnut Brown - Very Dark
890,#324233,,Pistachio Green - Ultra Dark
891,#ee3246,,Carnation - Dark
892,#f44753,,Carnation - Medium
893,#f66879,,Carnation - Light
894,#fd95a3,,Carnation - Very Light
895,#344b2e,,Hunter Green - Very Dark
898,#532f1b,,Coffee Brown - Very Dark
899,#ea6b78,,Rose - Medium
900,#c63117,,Burnt Orange - Dark
902,#651329,,Garnet - Very Dark
904,#386324,,Parrot Green - Very Dark
905,#467924,,Parrot Green - Dark
906,#6c9e29,,Parrot Green - Medium
907,#9dc72d,,Parrot Green - Light
909,#106b43,,Emerald Green - Very Dark
910,#10814e,,Emerald Green - Dark
911,#109256,,Emerald Green - Medium
912,#36b26b,,Emerald Green - Light
913,#55ca7d,,Nile Green - Medium
915,#95085a,,Plum - Dark
917,#ac1071,,Plum - Medium
918,#883630,,Red Copper - Dark
919,#9b371b,,Red Copper
920,#ab4836,,Copper - Medium
921,#c0573d,,Copper
922,#dd6e4c,,Copper - Light
924,#384a4a,,Gray Green - Very Dark
926,#617674,,Gray Green - Medium
927,#9fa8a5,,Gray Green - Light
928,#c0c6c0,,Gray Green - Very Light
930,#495c6b,,Antique Blue - Dark
931,#667684,,Antique Blue - Medium
932,#93a0af,,Antique Blue - Light
934,#323324,,Avocado Green - BLACK
935,#383a2a,,Avocado Green - Dark
936,#3f4227,,Avocado Green - Very Dark
937,#434f2c,,Avocado Green - Medium
938,#45271a,,Coffee Brown - Ultra Dark
939,#09092f,,Blue - Very Dark
943,#009a77,,Aquamarine - Medium
945,#f6c19a,,Tawny
946,#ed4115,,Burnt Orange - Medium
947,#fc4f16,,Burnt Orange
948,#fde6d3,,Peach - Very Light
950,#e5ac8d,,Desert Sand - Light
951,#faddb6,,Tawny - Light
954,#6fda8a,,Nile Green
955,#a8ebad,,Nile Green - Light
956,#f7566d,,Geranium
957,#fd99af,,Geranium - Pale
958,#0db294,,Seagreen - Dark
959,#72d0b7,,Seagreen - Medium
961,#de586c,,Dusty Rose - Dark
962,#eb7183,,Dusty Rose - Medium
963,#fdccd1,,Dusty Rose - Ultra Very Light
964,#a5e4d4,,Seagreen - Light
966,#94d28a,,Baby Green - Medium
967,#ffc2ac,,Peach - Light
970,#fb6721,,Pumpkin - Light
971,#fc670d,,Pumpkin
972,#fb9f11,,Canary - Deep
973,#fccd2d,,Canary - Bright
975,#813c11,,Golden Brown - Dark
976,#cf7532,,Golden Brown - Medium
977,#ec8f43,,Golden Brown - Light
986,#2e5230,,Forest Green - Very Dark
987,#436838,,Forest Green - Dark
988,#66924a,,Forest Green - Medium
989,#71a74e,,Forest Green
991,#135f55,,Aquamarine - Dark
992,#42b59e,,Aquamarine - Light
993,#62d8b6,,Aquamarine - Very Light
995,#0061b0,,Electric Blue - Dark
996,#49a8eb,,Electric Blue - Medium
3011,#655935,,Khaki Green - Dark
3012,#8b7b4e,,Khaki Green - Medium
3013,#afa97b,,Khaki Green - Light
3021,#50403b,,Brown Gray - Very Dark
3022,#848274,,Brown Gray - Medium
3023,#a29b86,,Brown Gray - Light
3024,#beb8ac,,Brown Gray - Very Light
3031,#423014,,Mocha Brown - Very Dark
3032,#9d8868,,Mocha Brown - Medium
3033,#dbc7ad,,Mocha Brown - Very Light
3041,#866a76,,Antique Violet - Medium
3042,#af98a0,,Antique Violet - Light
3045,#af8152,,Yellow Beige - Dark
3046,#ceb074,,Yellow Beige - Medium
3047,#ead8ab,,Yellow Beige - Light
3051,#4c4c1e,,Green Gray - Dark
3052,#787e5c,,Green Gray - Medium
3053,#999d75,,Green Gray
3064,#ba7056,,Desert Sand
3072,#d2d2ca,,Beaver Gray - Very Light
3078,#fcf6b6,,Golden Yellow - Very Light
3325,#adcde7,,Baby Blue - Light
3326,#f9979c,,Rose - Light
3328,#be444a,,Salmon - Dark
3340,#fd6b4f,,Apricot - Medium
3341,#fd8e78,,Apricot
3345,#40552e,,Hunter Green - Dark
3346,#56743b,,Hunter Green
3347,#6d9646,,Yellow Green - Medium
3348,#bedf74,,Yellow Green - Light
3350,#aa3949,,Dusty Rose - Ultra Dark
3354,#efa5ac,,Dusty Rose - Light
3362,#49523c,,Pine Green - Dark
3363,#617451,,Pine Green - Medium
3364,#8e9b6d,,Pine Green
3371,#36220e,,Black Brown
3607,#d94c9d,,Plum - Light
3608,#ec81be,,Plum - Very Light
3609,#f6b0df,,Plum - Ultra Light
3685,#79263b,,Mauve - Very Dark
3687,#b5455d,,Mauve
3688,#dc7c86,,Mauve - Medium
3689,#f8bbc8,,Mauve - Light
3705,#f2494f,,Melon - Dark
3706,#fd6e70,,Melon - Medium
3708,#fda0ae,,Melon - Light
3712,#d95d5d,,Salmon - Medium
3713,#fdd5d0,,Salmon - Very Light
3716,#fcafb9,,Dusty Rose - Very Light
3721,#933b3d,,Shell Pink - Dark
3722,#a04b4c,,Shell Pink - Medium
3726,#95565c,,Antique Mauve - Dark
3727,#da9ea6,,Antique Mauve - Light
3731,#c34c5c,,Dusty Rose - Very Dark
3733,#ea7e86,,Dusty Rose
3740,#71535d,,Antique Violet - Dark
3743,#cfc2c9,,Antique Violet - Very Light
3746,#844ab5,,Blue Violet - Dark
3747,#d0c5ec,,Blue Violet - Very Light
3750,#1d4552,,Antique Blue - Very Dark
3752,#bac9cc,,Antique Blue - Very Light
3753,#d9e6ec,,Antique Blue - Ultra Very Light
3755,#81a5d8,,Baby Blue
3756,#e9f4fa,,Baby Blue - Light
3760,#467293,,Wedgewood - Medium
3761,#b1d0df,,Sky Blue - Light
3765,#175e78,,Peacock Blue - Very Dark
3766,#4b8aa1,,Peacock Blue - Light
3768,#4c605f,,Gray Green - Dark
3770,#fef1d8,,Tawny - Very Light
3771,#e8ac9b,,Peach - Dark
3772,#995744,,Desert Sand - Very Dark
3773,#cf866d,,Desert Sand - Medium
3774,#f3cfb4,,Desert Sand - Very Light
3776,#c96444,,Mahogany - Light
3777,#922f25,,Terra Cotta - Very Dark
3778,#d2705c,,Terra Cotta - Light
3779,#f2ab95,,Terra Cotta - Ultra Very Light
3781,#593f2b,,Mocha Brown - Dark
3782,#b69d80,,Mocha Brown - Light
3787,#62524c,,Brown Gray - Dark
3790,#6d5a4b,,Beige Gray - Ultra Dark
3799,#39393d,,Pewter Gray - Very Dark
3801,#e4353d,,Melon - Very Dark
3802,#672a33,,Antique Mauve - Very Dark
3803,#872a43,,Mauve - Dark
3804,#ce2b63,,Cyclamen Pink - Dark
3805,#df3c73,,Cyclamen Pink
3806,#f15a91,,Cyclamen Pink - Light
3807,#4b599e,,Cornflower Blue
3808,#03535c,,Turquoise - Ultra Very Dark
3809,#136a75,,Turquoise - Very Dark
3810,#2d8d98,,Turquoise - Dark
3811,#a8e2e5,,Turquoise - Very Light
3812,#07a184,,Seagreen - Very Dark
3813,#86c3ab,,Blue Green - Light
3814,#0b8673,,Aquamarine
3815,#437259,,Celadon Green - Dark
3816,#60937a,,Celadon Green
3817,#81c6a4,,Celadon Green - Light
3818,#005d2e,,Emerald Green - Ultra Very Dark
3819,#ccc959,,Moss Green - Light
3820,#dba53e,,Straw - Dark
3821,#ebbb52,,Straw
3822,#f7d169,,Straw - Light
3823,#fef5cd,,Yellow - Ultra Pale
3824,#fcae99,,Apricot - Light
3825,#fea370,,Pumpkin - Pale
3826,#b16633,,Golden Brown
3827,#eaa664,,Golden Brown - Pale
3828,#aa7c43,,Hazelnut Brown
3829,#a7671d,,Old Gold - Very Dark
3830,#a94138,,Terra Cotta
3831,#c12b52,,Raspberry - Dark
3832,#e36370,,Raspberry - Medium
3833,#ea8b96,,Raspberry - Light
3834,#6a2258,,Grape - Dark
3835,#924d78,,Grape - Medium
3836,#c597b9,,Grape - Light
3837,#8a2a8f,,Lavender - Ultra Dark
3838,#606bad,,Lavender Blue - Dark
3839,#7a7ec5,,Lavender Blue - Medium
3840,#b2bdea,,Lavender Blue - Light
3841,#d9eaf2,,Baby Blue - Pale
3842,#06506a,,Wedgewood - Dark
3843,#28a3de,,Electric Blue
3844,#1f7fa0,,Bright Turquoise - Dark
3845,#2badd1,,Bright Turquoise - Medium
3846,#5eccec,,Bright Turquoise - Light
3847,#186358,,Teal Green - Dark
3848,#207e72,,Teal Green - Medium
3849,#35b193,,Teal Green - Light
3850,#208b46,,Bright Green - Dark
3851,#61bb84,,Bright Green - Light
3852,#e3a730,,Straw - Very Dark
3853,#ef8125,,Autumn Gold - Dark
3854,#fbac56,,Autumn Gold - Medium
3855,#fddfa0,,Autumn Gold - Light
3856,#fdbe8e,,Mahogany - Ultra Very Light
3857,#6a2f26,,Rosewood - Dark
3858,#803a32,,Rosewood - Medium
3859,#ba7a6c,,Rosewood - Light
3860,#896362,,Cocoa
3861,#ac8583,,Cocoa - Light
3862,#6e492a,,Mocha Beige - Dark
3863,#94725d,,Mocha Beige - Medium
3864,#c9aa92,,Mocha Beige - Light
3865,#fffdf9,,Winter White
3866,#f0e6d7,,Mocha Brown - Ultra Very Light
3880,#bb6864,,Shell Pink - Light
3881,#bae4b6,,Green - Light
3882,#5a3c2d,,Beige Brown - Dark
3883,#f98756,,Orange Spice - Light
3884,#4b4b49,,Ash Gray - Very Light
3885,#1f3279,,Baby Blue - Very Dark
3886,#79263b,,Mauve - Very Dark
3887,#9442a7,,Lavender - Very Dark
3888,#71535d,,Antique Violet - Dark
3889,#fcf999,,Lemon - Light
3890,#4b8aa1,,Peacock Blue - Light
3891,#0061b0,,Electric Blue - Dark
3892,#fd6f1a,,Tangerine
3893,#ead0b5,,Beige Brown - Ultra Very Light
3894,#9dc72d,,Parrot Green - Light
3895,#6b6860,,Beaver Gray - Dark
